sku;custo;imposto;observacao
SFMILAO140_CORINOCARAMELO;500,00;7%;renomeado de SOFAMILAO-CARAMELO140 (padrao SKU do Daniel) - 04/09/2026
SFMILAO140_CORINOPRETO;500,00;7%;renomeado de SOFAMILAO-PRETO140 (padrao SKU do Daniel) - 04/09/2026
SFMILAO180_CORINOCARAMELO;700,00;7%;renomeado de SOFAMILAO-CARAMELO180 (padrao SKU do Daniel) - 04/09/2026
SFMILAO180_CORINOPRETO;600,00;7%;renomeado de SOFAMILAO-PRETO180 (padrao SKU do Daniel) - 04/09/2026
SFYARA140_VELUDOCINZA;650,00;9%;renomeado de SOFAYARAFORNEC-CINZA140 (padrao SKU do Daniel) - 04/09/2026
SFYARA140_VELUDOMARROM;650,00;9%;renomeado de SOFAYARAFORNEC-MARROM140 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOAZUL;765,00;9%;renomeado de SOFAYARA-AZUL180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOBEGE;765,00;9%;renomeado de SOFAYARA-BEGE180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOMARROM;765,10;9%;renomeado de SOFAYARA-MARROM180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOPRETO;765,00;9%;renomeado de SOFAYARA-PRETO180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOTERRACOTA;765,00;9%;renomeado de SOFAYARA-TERRACOTA180 (padrao SKU do Daniel) - 04/09/2026
KIT2POLTMONA_LINHOBEGE;680,00;7%;renomeado de KIT2CADEIRASMONA-BEGE (padrao SKU do Daniel) - 04/09/2026
POLTEROS_CORINOCAFE;480,00;7%;renomeado de POLTRONAEROS-CAFE (padrao SKU do Daniel) - 04/09/2026
SFYARA140_VELUDOBEGE;650,00;9%;renomeado de SOFAYARAFORNEC-BEGE140 (padrao SKU do Daniel) - 04/09/2026
POLTBENY_LINHOBEGE;350,00;7%;renomeado de POLTBENYLINHO_BEGE (padrao SKU do Daniel) - 06/09/2026
POLTBENY_LINHOGRAFITE;350,00;7%;renomeado de POLTBENYLINHO_GRAFITE (padrao SKU do Daniel) - 06/09/2026
KIT2POLTMONA_LINHOGRAFITE;680,00;7%;renomeado de KIT2POLTRONASMONA-GRAFITE (padrao SKU do Daniel) - 06/09/2026
KIT2POLTMONA_CORINOCARAMELO;680,00;7%;renomeado de KIT2POLTRONASMONACORINO-CARAMELO (padrao SKU do Daniel) - 06/09/2026
POLTMONA_LINHOAZULPETROLEO;340,00;7%;renomeado de POLTRONAMONA-AZULPETROLEO (padrao SKU do Daniel) - 06/09/2026
SFYARA180_CINZA;765,00;9%;renomeado de SOFAYARA-CINZA180 (padrao SKU do Daniel) - 06/09/2026
SFMOBLY180_VELUDOAZUL;747,00;7%;renomeado de SOFACAMA-AZUL180 (padrao SKU do Daniel) — custo Mobly confirmado (planilha "Sofá Cama 1,80 (Mobili)") - 06/09/2026
SFMOBLY180_VELUDOBEGE;747,00;7%;renomeado de SOFACAMA-BEGE180 (padrao SKU do Daniel) — custo Mobly confirmado (planilha "Sofá Cama 1,80 (Mobili)") - 06/09/2026
SFMOBLY180_VELUDOCINZA;747,00;7%;renomeado de SOFACAMA-CINZA180 (padrao SKU do Daniel) — custo Mobly confirmado (planilha "Sofá Cama 1,80 (Mobili)") - 06/09/2026
SFMOBLY180_VELUDOTERRACOTA;747,00;7%;renomeado de SOFACAMA-TERRACOTA180 (padrao SKU do Daniel) — custo Mobly confirmado (planilha "Sofá Cama 1,80 (Mobili)") - 06/09/2026
SFMOBLY180_VELUDOVERDE;747,00;7%;renomeado de SOFACAMA-VERDE180 (padrao SKU do Daniel) — custo Mobly confirmado (planilha "Sofá Cama 1,80 (Mobili)") - 06/09/2026
POLTMANU_LINHOCINZA;350,00;7%;renomeado de POLTMANU_CINZA (padrao SKU do Daniel, Nuvem Confort = Manu) - 06/09/2026
