mlb_origem;rota;titulo;preco;tipo;estoque_origem;categoria;catalog_product_id;family_name;variacoes;fotos;envio;frete_gratis;status_origem;tem_descricao
MLB5855966856;catalogo;Jelc Decor Cama Infantil Aurora Baby Infantil Berço Bege Aurora Baby Premium;799;gold_special;9537;MLB3231;MLB53469456;Jelc Decor Cama Infantil Aurora Baby Infantil Berço;0;7;me2;1;paused;1
MLB5826829810;catalogo;Cama Infantil 100% Espumada Montessoriana Juvenil Para Quarto Aconchegante Sem Colchão Cor Azul Liso;794.9;gold_special;9934;MLB3231;MLB60239141;;0;7;me2;1;active;1
MLB5775573914;catalogo;Cama Infantil Montessori Aurora Baby Jelc Decor Rosa Com Colchão E Laterais De Proteção 150x70  Aurora Baby Premium;799;gold_special;9461;MLB3231;MLB53515051;Jelc Decor Cama Infantil Aurora Baby Infantil Berço;0;5;me2;1;paused;1
MLB5950204868;catalogo;Mini Cama Montessori Infantil De Espuma Para Quarto Com Proteção E Colchão Rosa Liso;799;gold_special;99938;MLB3231;MLB62319974;JB Estofados Cama Infantil Aurora Juvenil 100% Espuma Berço;0;6;me2;1;active;1
MLB5887330142;catalogo;Mini Cama Baby De Espuma Montessoriana Segurança E Conforto Cor Bege Moisés;399;gold_special;24949;MLB3231;MLB61558894;;0;5;me2;1;paused;1
MLB5775498758;variacoes;Cama Infantil Espuma Montessoriana Juvenil Quarto C/ Colchão;799;gold_pro;79635;MLB3231;MLB60239136;;3;20;me2;1;paused;1
MLB5827101288;catalogo;Cama Montessoriana Infantil Berço Aurora Azul Com Colchão Jelc Decor Liso;799;gold_special;29690;MLB455214;MLB60282434;;0;6;me2;1;paused;1
MLB4347058391;catalogo;Cama Infantil Espuma Montessoriana Juvenil Quarto C/ Colchão Cor Azul-escuro Liso;799;gold_special;9875;MLB3231;MLB60969924;Jelc Decor Mini cama Berço;0;6;me2;1;paused;1
MLB4275659597;variacoes;Camas Infantil Moisés Montessoriana Espuma Bebê Até 12 Meses;799;gold_special;44994;MLB455214;MLB63120427;;3;18;me2;1;paused;1
MLB6048231356;catalogo;Camas Infantil Moisés Montessoriana Espuma Bebê Até 12 Meses Cor Bege Liso;799;gold_special;14994;MLB455214;MLB63120428;;0;6;me2;1;paused;1
MLB5973609044;catalogo;Conjunto 2 Poltronas Mona Decorativa Linho Terracota Para Sala De Estar E Recepção - Minha Loja De Móveis Liso;1399;gold_special;10000;MLB1626;MLB46402994;Conjunto 2 Poltronas Mona Decorativa Linho Terracota Para Sala De Estar E Recepção - Minha Loja De Móveis Liso;0;6;me2;1;paused;1
MLB4279377999;catalogo;Mini Cama Baby De Espuma Montessoriana Segurança E Conforto Cor Azul Moisés;399;gold_special;24938;MLB3231;MLB61387866;;0;5;me2;1;paused;1
