codigo,descricao,qtde,preco,custo,ult_aquisicao,markup
009784,CHINELO IPANEMA 25431 BABY BJ435 AZUL ESCURO,10,24.99,13.11,17/06/25,90.62
008706,CHINELO IPANEMA 25431 BABY AX725 ROSA/ROSA/C,2,24.99,11.98,01/12/25,108.6
008707,CHINELO IPANEMA 25431 BABY BE697,6,24.99,11.98,28/06/24,108.6
009485,CHINELO IPANEMA 26121 ANATOMICA BL414 ROSA/GLITTE,2,34.99,16.42,28/02/25,113.09
010051,CHINELO IPANEMA 26790 TURMA BR672 ROSA MEDIO,4,24.99,12.84,26/11/25,94.63
007197,CHINELO IPANEMA 26791 TURMA AT993,4,24.99,11.73,/  /,113.04
008853,CHINELO IPANEMA 26791 TURM BB032I/TMON,8,25.99,11.98,13/07/24,116.94
008854,CHINELO IPANEMA 26791 TURM BB036I/TMON,10,25.99,11.98,13/07/24,116.94
006866,CHINELO IPANEMA 26791 TURM AX417 AZUL/AZUL,7,25.99,12.42,30/11/23,109.26
007013,CHINELO IPANEMA 27065 DISNEY AV540 ROSA/ROSA/B,5,34.99,14.91,09/01/24,134.67
008855,CHINELO IPANEMA 27065 DISNEY BC951I/DISN,6,35.99,16.77,13/07/24,114.61
008712,CHINELO IPANEMA 27071 GALINHA BD775 AZUL/AZUL/C,15,24.99,11.98,02/07/24,108.6
010521,CHINELO IPANEMA 27114 DECK CITY CB460 AZUL/PRETO,58,29.99,13.78,23/04/26,117.63
009487,CHINELO IPANEMA 27182 GLITTER AW986 ROSA/ROSA,4,29.99,14.08,17/11/25,113.0
008716,CHINELO IPANEMA 27182 GLITTER BE467,1,29.99,14.37,17/11/25,108.7
008808,CHINELO IPANEMA 27192 M/BITA BF453BITA,18,29.99,14.37,08/07/24,108.7
008807,CHINELO IPANEMA 27192 M/BITA BF451BITA,15,29.99,14.37,08/07/24,108.7
009578,CHINELO IPANEMA 27230 DIVERSA BJ760,2,22.99,9.38,01/12/25,145.1
010052,CHINELO IPANEMA 27248 BELLE BABY BEGE/BEGE,6,39.99,19.69,23/04/26,103.1
010522,CHINELO IPANEMA 27273 GARDEN BX858 ROSA/GLITTE,46,36.99,17.23,23/04/26,114.68
009658,CHINELO IPANEMA 27277 SPORTY BH181 PRETO/CINZA,3,29.99,14.37,26/04/25,108.7
008720,CHINELO IPANEMA 27296 PATRULHA BE822 AZUL/AZUL,3,29.99,14.37,02/07/24,108.7
009957,CHINELO IPANEMA 27296 PATRULHA AZUL/AZUL,25,29.99,15.41,19/09/25,94.61
009958,CHINELO IPANEMA 27296 PATRULHA ROSA/ROSA,6,29.99,15.73,21/08/25,90.65
008719,CHINELO IPANEMA 27296 PATRULHA BE803 ROSA/ROSA,1,29.99,14.37,02/07/24,108.7
010523,CHINELO IPANEMA 27318 HOT WHEELS BR204,47,29.99,13.78,23/04/26,117.63
010524,CHINELO IPANEMA 27383 DAY BQ428 BEGE/BEGE,35,24.99,9.85,23/04/26,153.71
010530,CHINELO IPANEMA 27388 HYPE CB863 PRETO/PRETO,5,32.99,14.77,23/04/26,123.36
010292,CHINELO IPANEMA 27398 GLOW BU033 OFF WHITE,6,26.99,12.84,26/11/25,110.2
010054,CHINELO IPANEMA 27398 GLOW PRETO GLOW,1,26.99,12.84,26/11/25,110.2
010063,CHINELO IPANEMA 27435 HELLO KITT ROSA/GLITTER,8,39.99,20.54,19/09/25,94.69
010064,CHINELO IPANEMA 27438 ANATOMICA LILAS/LILAS,3,34.99,17.98,19/12/25,94.61
010065,CHINELO IPANEMA 27438 ANATOMICA VERDE/VERDE,7,34.99,17.98,19/12/25,94.61
010525,CHINELO IPANEMA 27511 CAPIVARA BX628 AZUL/ROSA,15,42.99,19.69,23/04/26,118.33
010297,CHINELO IPANEMA 27513 SPIDEY BW997 AZUL/AZUL,20,39.99,20.54,26/11/25,94.69
010526,CHINELO IPANEMA 27539 HELLO KITT BZ164 AZUL/ROSA,54,32.99,14.77,23/04/26,123.36
010447,CHINELO IPANEMA 27543 HELLO KITT BZ133 AZUL/ROSA,34,32.99,14.77,23/04/26,123.36
003607,CHINELO IPANEMA JURASSIC WORLD CHINELO,13,29.9,20.29,/  /,47.36
010061,CHINELO IPANEMA KIDS 27433 BS313 ROSA/ROSA T,4,24.99,12.84,25/11/25,94.63
010351,CHINELO KIDS CARTAGO 10808 DAKAR BW108 CINZA/PRETO,40,49.99,22.14,18/05/26,125.79
010356,CHINELO KIDS CARTAGO 11841 BQ790 CINZA/BASAL,18,39.99,19.53,19/12/25,104.76
010104,CHINELO KIDS HAVAIANAS K/TOP MARVEL/AZUL,6,59.99,30.37,08/05/26,97.53
009763,CHINELO KIDS HAVAIANAS K/TOP MARV,6,59.99,30.92,22/04/26,94.02
010103,CHINELO KIDS HAVAIANAS TOP 0031 AZUL KIDS,10,59.99,29.99,10/03/26,100.03
010289,CHINELO KIDS IPANEMA 26790 TURMA BR675 AZUL/PRETO,15,24.99,12.84,26/11/25,94.63
010290,CHINELO KIDS IPANEMA 27012 BU049 VERDE/VERDE,2,19.99,10.27,26/11/25,94.64
010275,CHINELO KIDS IPANEMA 27324 BT998,23,32.99,15.41,25/11/25,114.08
009749,CHINELO KIDS SLIM HAVAIANAS STITCH,11,69.99,31.48,08/05/26,122.33
009869,CHINELO KIDS SLIM HAVAIANAS PRINC ROSA/ROSA,18,59.99,28.99,11/05/26,106.93
009860,CHINELO KIDS SLIM HAVAIANAS PINC BEGE,15,59.99,28.99,22/04/26,106.93
009756,CHINELO KIDS SLIM HAVAIANAS PRINC AZUL/AZUL,14,59.99,28.99,22/04/26,106.93
010650,CHINELO KIDS SLIM HAVAIANAS 8442 ROXO/ROXO,24,59.99,28.79,02/06/26,108.37
010649,CHINELO KIDS SLIM HAVAIANAS 3173 LARANJA,24,59.99,28.79,02/06/26,108.37
004855,CHINELO KLIN ACQUA PRINT 442101 442101 C,2,54.99,24.96,/  /,120.31
010658,CHINELO MASCULINO DEDO HAVAIANAS 0121 BEGE PALHA,12,79.99,39.25,02/06/26,103.8
010659,CHINELO MASCULINO DEDO HAVAIANAS 6516 BEGE/BEGE,12,75.99,36.63,02/06/26,107.45
010479,CHINELO MODARE 7162.333 NATURE 15745 PRETO A,17,99.9,49.7,11/06/26,101.01
010478,CHINELO MODARE 7162.333 NATURE 108352 ALECRIM,17,99.9,49.7,11/06/26,101.01
004186,CHINELO OLYMPIKUS HYDRA HYDRA OL,4,89.9,40.0,/  /,124.75
010517,CHINELO RASTEIRA GRENDHA 19290 CA855 OFF WHITE,5,44.99,19.69,23/04/26,128.49
010516,CHINELO RASTEIRA GRENDHA 19290 CA854 MARROM URSO,22,44.99,19.69,23/04/26,128.49
010518,CHINELO RASTEIRA GRENDHA 19290 CA857 PRETO/MARRO,40,44.9,19.69,23/04/26,128.03
010533,CHINELO RASTEIRA GRENDHA 19378 BY819 OFF WHITE,10,54.99,24.61,23/04/26,123.45
010534,CHINELO RASTEIRA GRENDHA 19378 BY824,3,54.99,24.61,23/04/26,123.45
010512,CHINELO RASTEIRA SLIDE VIZZANO 17606 PRETO/OURO,9,119.99,54.28,17/04/26,121.06
007048,CHINELO RIDER 11573 STREET AD AE960 AD,41,37.99,17.23,23/04/26,120.49
009785,CHINELO RIDER 11573 STREET AD AE963 PRETO/CINZA,14,37.99,16.95,26/11/25,124.13
006105,CHINELO RIDER 11592 SLIDE STREET AR411 PRETO/PRETO,14,44.9,19.38,26/11/25,131.68
010006,CHINELO RIDER 11645 STREET BABY ROSA RIDER,5,29.99,15.41,19/12/25,94.61
010042,CHINELO RIDER 12573 PULSE BS508,4,49.99,25.68,19/09/25,94.67
001558,CHINELO RIDER KIDS STREET OLE PRETO/PR,1,22.99,12.28,/  /,87.21
010166,CHINELO SLIDE ACTVITTA 4856.100 105658 ROSA S,3,79.9,38.5,10/10/25,107.53
009913,CHINELO SLIDE ACTVITTA 4942.100 PRETO 01,9,89.9,42.61,01/04/26,110.98
009914,CHINELO SLIDE ACTVITTA 4942.100 BRANCO,19,89.9,42.61,01/04/26,110.98
010265,CHINELO SLIDE BEIRA RIO 8360.303 PRETO GRECIA,7,74.99,34.79,19/11/25,115.55
009564,CHINELO SLIDE BEIRA RIO 8360.303 15745 PRETO NP/T,3,64.99,25.77,27/03/25,152.19
009565,CHINELO SLIDE BEIRA RIO 8360.303 15745 PRETO/CREME,4,64.99,29.61,19/11/25,119.49
009566,CHINELO SLIDE BEIRA RIO 8360.353 75365 PRETO,1,69.9,31.74,27/03/25,120.23
010513,CHINELO SLIDE CARTAGO 12626 BY804,30,72.99,34.46,23/04/26,111.81
008361,CHINELO SLIDE COURO PLUS SIZE 642-02 SIZ,11,229.9,110.24,25/06/25,108.54
010721,CHINELO SLIDE FEMININO ACTVITTA 15745 PRETO SLL,24,89.9,47.01,24/06/26,91.24
010722,CHINELO SLIDE FEMININO ACTVITTA 62016 VERDE AGUA,12,89.9,47.01,24/06/26,91.24
010720,CHINELO SLIDE FEMININO ACTVITTA 110395 BLUSH/ROSA,24,89.9,47.01,24/06/26,91.24
010293,CHINELO SLIDE IPANEMA 27400 GLOW BR775 PRETO/PRETO,5,32.99,15.41,26/11/25,114.08
010294,CHINELO SLIDE IPANEMA 27400 GLOW BR777 BEGE/,2,32.99,15.41,26/11/25,114.08
010718,CHINELO SLIDE MASCULINO ACTVITTA 15745 PRETO SL,24,99.9,52.01,24/06/26,92.08
010719,CHINELO SLIDE MASCULINO ACTVITTA 108112 CINZA,24,99.9,52.01,24/06/26,92.08
010177,CHINELO SLIDE MOLEKINHA 2338.100 78276 ROSA 942 N,3,59.99,28.97,20/03/26,107.08
010178,CHINELO SLIDE MOLEKINHA 2338.300 104903 PINK LILAS,1,69.9,33.18,16/10/25,110.67
010086,CHINELO SLIDE MOLEKINHA 2341.134 15745 PRETO 01 N,1,99.9,46.41,25/09/25,115.26
010171,CHINELO SLIDE MOLEKINHO 2417.100 MARINHO EVA,8,59.9,28.23,13/10/25,112.19
010170,CHINELO SLIDE MOLEKINHO 2417.100 PRETO EVA,103,59.9,28.6,15/06/26,109.44
010371,CHINELO SLIDE MOLEKINHO 2417.303 24373,7,69.9,34.05,20/01/26,105.29
009991,CHINELO SLIDE NUVEM MARROM,1,89.9,39.22,02/09/25,129.22
010473,CHINELO SLIDE NUVEM MOLEKINHA 83517 CREME EV,7,79.9,38.5,20/03/26,107.53
010474,CHINELO SLIDE NUVEM MOLEKINHA 15745 PRETO EV,5,79.9,38.5,20/03/26,107.53
010630,CHINELO SLIDE NUVEM ZAXY 19419 CB548 MARROM URSO,24,99.9,44.31,29/05/26,125.46
010629,CHINELO SLIDE NUVEM ZAXY 19419 CB547 OFF WHITE,24,99.99,44.31,29/05/26,125.66
010628,CHINELO SLIDE NUVEM ZAXY 19419 CB546 PRETO,23,99.99,44.31,29/05/26,125.66
010192,CHINELO SLIDE OLYMPIKUS MILITAR/VERDE/MUS,1,169.9,79.5,29/10/25,113.71
009501,CHINELO SLIDE OLYMPIKUS BRANCO PRETO MELB,7,169.9,79.5,29/10/25,113.71
