sku;custo;imposto;observacao
SOFACAMAMARROM180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFAMILAO-CARAMELO140;500,00;7%;custo facilitaa.xlsx — Sofá milao 1,40
SOFAMILAO-CARAMELO180;700,00;7%;custo facilitaa.xlsx — Sofá milao 1,80
SOFAMILAO-PRETO140;500,00;7%;custo facilitaa.xlsx — Sofá milao 1,40
SOFAMILAO-PRETO180;700,00;7%;custo facilitaa.xlsx — Sofá milao 1,80
SOFAMILAOCARAMELO140;500,00;7%;custo facilitaa.xlsx — Sofá milao 1,40
SOFAMILAOCARAMELO180;700,00;7%;custo facilitaa.xlsx — Sofá milao 1,80
SOFAMILAOPRETO140;500,00;7%;custo facilitaa.xlsx — Sofá milao 1,40
SOFANUVEM-BEGE;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Confort
SOFANUVEM-CINZA;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Confort
SOFANUVEMBEGE;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Confort
SOFANUVEMCINZA;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Confort
SOFAYARA-AZUL180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA-BEGE180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA-CINZA180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA-MARROM180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA-PRETO180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA-TERRACOTA180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARABEGE;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARAFORNEC-BEGE140;650,00;7%;custo facilitaa.xlsx — Sofá Cama 1,40 Yara Pé Ferro
SOFAYARAFORNEC-CINZA140;650,00;7%;custo facilitaa.xlsx — Sofá Cama 1,40 Yara Pé Ferro
SOFAYARAFORNEC-GRAFITE140;650,00;7%;custo facilitaa.xlsx — Sofá Cama 1,40 Yara Pé Ferro
SOFAYARAFORNEC-MARROM140;650,00;7%;custo facilitaa.xlsx — Sofá Cama 1,40 Yara Pé Ferro
SOFAYARA_AZUL;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA_BEGE;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA_CINZA;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA_MARROM;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA_PRETO;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFAYARA_TERRACOTA;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Yara Pé Ferro
SOFÁCAMAPRETO180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
MLB5696570996;680,00;7%;Kit Mona 2 un - anuncio sem SKU no ML, casado pelo MLB
MSCADEESCRITOPRETO;160,00;7%;informado pelo Neto em 03/09/2026 — Cadeira de Escritório Preta
RACKNEWAUROCINMEL;249,00;7%;informado pelo Neto em 03/09/2026 — Rack New Aurora
RACKNEWAUROPEROLA;249,00;7%;informado pelo Neto em 03/09/2026 — Rack New Aurora
